Date,Close/Last,Volume,Open,High,Low
11/14/2024,$75.68,6991574,$76.68,$76.98,$75.67
11/13/2024,$76.52,6835348,$76.91,$77.29,$76.47
11/12/2024,$76.66,9013905,$76.46,$77.43,$76.14
11/11/2024,$76.60,9877188,$76.15,$77.40,$76.10
11/08/2024,$75.88,8140788,$75.50,$76.555,$75.25
11/07/2024,$75.92,11831060,$75.70,$76.37,$75.21
11/06/2024,$75.32,16193700,$76.87,$76.95,$75.12
11/05/2024,$77.98,5629199,$77.25,$78.00,$77.00
11/04/2024,$77.19,6593781,$77.99,$78.55,$77.115
11/01/2024,$78.06,9623692,$77.05,$78.13,$76.96
10/31/2024,$77.13,13990090,$76.20,$77.34,$75.20
10/30/2024,$76.45,15691330,$78.00,$78.11,$76.42
10/29/2024,$78.40,7241111,$78.88,$79.47,$78.20
10/28/2024,$78.91,6617243,$79.32,$79.64,$78.82
10/25/2024,$78.85,9385379,$79.22,$79.58,$78.5201
10/24/2024,$79.04,7424459,$80.50,$80.80,$79.03
10/23/2024,$80.05,7253085,$81.00,$81.0375,$79.791
10/22/2024,$81.42,7308823,$81.35,$82.42,$81.23
10/21/2024,$81.48,7550197,$82.85,$83.09,$81.44
10/18/2024,$82.92,7214787,$83.78,$83.95,$82.63
10/17/2024,$83.40,9204490,$84.11,$84.762,$83.38
10/16/2024,$83.94,11220590,$82.14,$84.09,$82.05
10/15/2024,$82.12,11804390,$81.05,$82.72,$81.05
10/14/2024,$81.60,8177686,$82.00,$82.04,$80.80
10/11/2024,$82.15,10171110,$82.04,$82.27,$81.18
10/10/2024,$82.10,8370188,$83.40,$83.45,$82.03
10/09/2024,$82.45,11750640,$81.14,$82.925,$81.07
10/08/2024,$80.77,10569620,$80.75,$81.42,$79.93
10/07/2024,$80.83,12767400,$82.14,$82.47,$80.09
10/04/2024,$82.25,10342360,$82.63,$83.54,$82.10
10/03/2024,$82.10,18143750,$82.40,$83.78,$81.98
10/02/2024,$83.10,33208790,$82.885,$85.23,$81.77
10/01/2024,$89.13,20623380,$88.00,$89.635,$87.71
09/30/2024,$88.40,12036390,$89.70,$89.75,$87.725
09/27/2024,$89.44,9181004,$89.45,$90.26,$89.21
09/26/2024,$89.39,13592810,$89.92,$90.62,$89.05
09/25/2024,$88.00,12392850,$87.85,$88.095,$87.24
09/24/2024,$87.46,21123260,$87.44,$88.28,$86.655
09/23/2024,$86.20,17712400,$85.40,$86.53,$85.05
09/20/2024,$86.52,52039260,$87.87,$88.00,$84.805
09/19/2024,$80.98,15067070,$82.60,$83.12,$80.47
09/18/2024,$80.90,7637007,$80.66,$81.755,$80.23
09/17/2024,$80.64,7580602,$80.01,$80.98,$79.86
09/16/2024,$79.80,9547660,$79.33,$79.99,$78.6895
09/13/2024,$79.01,5814152,$78.30,$79.49,$78.11
09/12/2024,$78.40,7186114,$78.23,$79.065,$77.53
09/11/2024,$78.40,8265542,$78.00,$78.59,$76.7421
09/10/2024,$78.09,9748356,$79.56,$79.56,$77.55
09/09/2024,$79.49,8003349,$80.75,$81.58,$79.015
09/06/2024,$80.63,8512173,$80.88,$81.88,$80.35
09/05/2024,$80.83,7596293,$81.13,$81.2404,$80.21
09/04/2024,$81.02,12837370,$80.10,$81.09,$79.67
09/03/2024,$81.32,10133710,$82.71,$82.94,$81.01
08/30/2024,$83.32,13755270,$83.60,$83.88,$82.05
08/29/2024,$83.26,7477205,$83.45,$83.89,$82.86
08/28/2024,$82.79,11088620,$85.05,$85.43,$81.88
08/27/2024,$85.29,14953990,$84.07,$85.39,$83.61
08/26/2024,$84.28,7853325,$83.47,$84.505,$83.38
08/23/2024,$84.05,9219749,$83.34,$84.24,$83.22
08/22/2024,$83.41,8485455,$84.45,$84.68,$83.21
08/21/2024,$84.00,6915865,$83.67,$84.24,$83.22
08/20/2024,$83.56,7863052,$83.49,$83.90,$82.77
08/19/2024,$83.28,9627253,$83.23,$83.99,$82.92
08/16/2024,$83.23,13794180,$82.88,$83.94,$82.44
08/15/2024,$82.50,23583640,$82.10,$83.06,$80.67
08/14/2024,$78.52,13612960,$78.00,$79.09,$77.42
08/13/2024,$78.50,22114820,$75.25,$79.05,$75.07
08/12/2024,$74.64,7067256,$74.71,$75.00,$74.0504
08/09/2024,$74.34,7186634,$74.12,$74.58,$73.366
08/08/2024,$74.19,8828032,$73.23,$74.21,$73.045
08/07/2024,$72.62,9571247,$72.88,$74.2119,$72.525
08/06/2024,$72.50,13469720,$71.66,$73.24,$71.51
08/05/2024,$71.42,13191530,$71.06,$72.62,$70.7502
08/02/2024,$74.01,11526630,$72.83,$74.125,$71.92
08/01/2024,$73.85,9563543,$74.70,$74.79,$73.26
07/31/2024,$74.86,14632940,$74.50,$75.43,$73.92
07/30/2024,$74.32,8515720,$73.69,$74.49,$73.455
07/29/2024,$73.55,10471840,$72.50,$73.8699,$72.20
07/26/2024,$72.56,8891986,$72.00,$72.78,$71.87
07/25/2024,$71.41,13855390,$71.53,$72.43,$70.91
07/24/2024,$71.09,18563320,$73.25,$73.39,$71.08
07/23/2024,$73.40,11041790,$74.63,$75.04,$73.24
07/22/2024,$74.86,19385490,$73.12,$75.34,$73.0703
07/19/2024,$72.70,11913320,$72.30,$72.82,$71.8516
07/18/2024,$72.38,14440130,$72.97,$73.93,$72.35
07/17/2024,$73.07,11161560,$72.53,$73.34,$72.50
07/16/2024,$72.81,20980670,$71.51,$72.96,$71.51
07/15/2024,$71.31,20775810,$73.00,$73.006,$71.24
07/12/2024,$73.42,14527520,$73.57,$74.05,$73.172
07/11/2024,$73.39,15876670,$72.70,$73.75,$72.29
07/10/2024,$72.54,21378210,$72.26,$72.64,$71.67
